len_answer_content,len_user_intro,len_question_content,user_exp,len_user_edu,num_user_interst,num_user_followed,num_question_tags,num_user_saved,num_user_thanks,num_user_agrees,num_user_helped,num_user_recommend,answer_question_overlap,question_uinterest_overlap,uinterest_answer_overlap,s2v_0,s2v_1,s2v_2,s2v_3,s2v_4,s2v_5,s2v_6,s2v_7,s2v_8,s2v_9,s2v_10,s2v_11,s2v_12,s2v_13,s2v_14,s2v_15,s2v_16,s2v_17,s2v_18,s2v_19
0.0611672278339,0.0,0.241666666667,0.10447761194,0.10447761194,0.477822580645,1.0,0.365079365079,0.0,0.00468518181108,0.00263582793978,0.000520574304879,0.0334894613583,0.0,0.0769230769231,0.0,0.456738,0.669085,0.130194,-0.062281,-0.087876,0.179425,1.085209,-0.128364,0.358758,-0.186039,-0.197821,0.368813,-0.450512,0.806691,-1.360464,-0.631626,-0.138202,-0.088439,0.13615,0.470952
0.0650953984287,0.0616223585549,0.733333333333,0.253731343284,0.134328358209,0.292338709677,1.0,0.187830687831,0.0223880597015,0.0520836044665,0.0388129114169,0.0153442395817,0.17868852459,0.0,0.0,0.2,0.178235,-0.01907,-0.039238,-0.698179,0.403465,-0.247842,-0.339602,0.218197,-0.264184,0.230302,-0.143246,-0.637958,0.324687,-0.045578,0.215427,0.374481,0.148956,0.399225,-0.131506,-0.043302
0.117283950617,0.160327198364,0.720833333333,0.746268656716,0.137313432836,0.203629032258,0.978947368421,0.359788359788,0.179104477612,0.235430386007,0.167837379076,0.248146815129,0.120843091335,0.0,0.0,0.2,0.50538,0.225387,-0.088074,0.291019,-0.00119,-0.44836,0.811274,0.010609,-0.367049,-0.029101,0.500645,0.319699,-0.009619,0.428297,-0.302191,0.463591,-0.97005,-0.015976,0.224783,-0.578925
0.208754208754,0.0329925017042,0.191666666667,0.417910447761,0.164179104478,0.0604838709677,1.0,0.243386243386,0.0,0.017178999974,0.0089010943516,0.00174176506571,0.040281030445,0.25,0.0769230769231,0.0,-0.480404,0.048301,-0.249294,-0.370217,-0.591294,0.421873,-0.760083,0.422127,0.319709,0.639456,0.193189,-0.135205,0.010842,0.553636,0.21636,-0.286699,-0.034787,0.042327,0.041706,-0.965201
0.226150392817,0.0192229038855,0.520833333333,0.34328358209,0.125373134328,0.631048387097,1.0,0.253968253968,0.158582089552,0.130976860408,0.129535073072,0.136446416004,0.273536299766,0.25,0.153846153846,0.2,0.929698,-0.479662,0.176245,-0.200802,0.035521,0.101616,-0.658492,0.38096,-0.73939,0.034022,-0.136703,0.186139,-0.844265,-0.013725,-1.038084,0.435249,0.164696,-0.634082,0.140652,-0.687592
0.111111111111,0.06857532379,0.2,0.164179104478,0.10447761194,0.181451612903,1.0,0.0952380952381,0.00559701492537,0.0291001848044,0.0514745456302,0.0049083748514,0.0145199063232,0.0,0.0769230769231,0.0,0.463462,0.492922,-0.042303,0.137857,-0.065041,-0.529309,0.438271,-0.189961,0.454542,-0.254094,-0.037048,0.15871,-0.264928,-0.253304,0.316017,-0.011139,-0.351484,0.223388,0.082983,-0.010519
0.0662177328844,0.0,0.520833333333,0.55223880597,0.253731343284,0.471774193548,1.0,0.415343915344,0.0111940298507,0.03662250449,0.0164428742945,0.0124436032913,0.138407494145,0.0,0.0769230769231,0.0,0.965948,-1.090632,0.702108,0.565246,0.141482,0.594533,-0.405028,0.158108,-1.038684,-0.69374,-0.187762,-0.30359,-0.110355,-0.032159,-0.439151,-0.397884,0.808104,0.271306,-0.224119,0.193165
0.109988776655,0.0369461486026,0.716666666667,0.432835820896,0.0746268656716,0.181451612903,0.978947368421,0.222222222222,0.14552238806,0.138082719488,0.235789299367,0.0451003370657,0.41662763466,0.5,0.0769230769231,0.2,1.380662,0.301327,-0.517161,0.138723,0.116557,-0.563591,-0.516171,-0.081792,0.713861,-0.539682,0.289323,-0.159918,0.282418,-0.567698,0.497259,0.909037,-0.04264,0.019819,0.214785,0.279675
0.0791245791246,0.0,0.5375,0.746268656716,0.0537313432836,0.334677419355,1.0,0.47619047619,0.143656716418,0.11949816497,0.0968839269696,0.040259798001,0.121779859485,0.25,0.0769230769231,0.2,0.897377,-1.528233,0.37148,0.296991,0.34356,0.94494,-0.203894,0.555334,-1.630951,-1.041148,0.002502,-0.153883,0.321654,-0.5833,-0.504349,-0.704198,0.803216,0.145406,-0.097483,0.008046
0.216049382716,0.0632583503749,0.5375,0.701492537313,0.24776119403,0.280241935484,1.0,0.291005291005,0.080223880597,0.146385902809,0.120219974332,0.063278551821,0.438407494145,0.0,0.0769230769231,0.0,0.614652,0.436226,0.181758,-0.215821,0.211104,0.679659,0.045078,-0.582287,0.036923,-0.062943,0.650478,-0.312685,-0.451334,0.483596,0.029069,-0.12122,-0.281761,-0.20779,0.317702,-1.479237
0.0510662177329,0.0,0.504166666667,0.34328358209,0.313432835821,0.0,0.947368421053,0.375661375661,0.0167910447761,0.016372107551,0.00889419427846,0.00337163200055,0.0341920374707,0.0,0.0,0.0,0.223461,-0.021982,0.49999,-0.345972,0.337857,-0.496011,-0.05918,0.029248,0.42503,0.712147,0.009395,0.592019,0.196435,0.22223,-0.09051,-0.447577,0.640429,0.090624,0.04807,-0.659326
0.0387205387205,0.11506475801,0.520833333333,0.0597014925373,0.0835820895522,0.167338709677,1.0,0.116402116402,0.00746268656716,0.0122595590723,0.00712087548128,0.001713242197,0.144028103044,0.0,0.0,0.2,0.19718,0.595465,0.248934,0.069166,-0.30193,-0.514454,-0.409785,-0.266251,0.123373,-0.644181,0.077844,-0.420322,-0.148628,-0.318966,-0.246977,0.184968,-0.037332,0.120453,-0.292152,-0.236649
0.161054994388,0.105112474438,0.5375,0.626865671642,0.155223880597,0.114919354839,1.0,0.169312169312,0.287313432836,0.285848148052,0.256813822227,0.181068730013,0.196955503513,0.0,0.0,0.2,-0.511781,-0.395615,-0.243825,-0.041688,0.026984,-0.229638,-0.866132,0.03941,0.583614,0.679461,-0.136197,0.153231,0.198156,0.165828,0.944697,-0.257496,0.364535,0.087651,-0.393687,-0.6474
0.0359147025814,0.252488070893,0.525,0.582089552239,0.134328358209,0.0120967741935,0.978947368421,0.169312169312,0.0111940298507,0.0193393893646,0.0152215613486,0.00250801268765,0.00679156908665,0.0,0.0,0.0,0.01186,0.176787,-0.142125,0.160565,-0.153018,0.069588,1.012919,0.003295,-0.035895,-0.034359,0.410224,-0.272027,0.568467,-0.112319,0.544169,0.29961,-0.258588,0.012603,-0.310945,-0.362103
0.223344556678,0.0,0.716666666667,0.208955223881,0.161194029851,0.564516129032,1.0,0.304232804233,0.00373134328358,0.00413857726646,0.00218732318563,0.000495338632891,0.0423887587822,0.25,0.230769230769,0.2,0.19887,0.102975,-0.831563,-0.37196,0.538115,-0.610542,-1.29936,0.064175,-0.548986,-0.281235,-0.576079,-0.281308,0.693924,0.532498,0.063423,-0.246784,0.766999,-0.999353,-0.425321,0.300207
0.159932659933,0.14287661895,0.520833333333,0.65671641791,0.24776119403,0.0302419354839,1.0,0.306878306878,0.00186567164179,0.0305838257112,0.00314643335219,0.00105115116031,0.044262295082,0.0,0.0,0.0,-0.067341,0.355716,-0.775837,0.067303,-0.278436,-0.357835,0.488567,-0.469958,-0.532252,-0.102532,-0.511493,-0.05802,0.956369,0.896805,0.483933,0.459183,0.106906,-0.303845,-0.510336,0.371789
0.0353535353535,0.00858895705521,0.454166666667,0.179104477612,0.113432835821,0.258064516129,1.0,0.439153439153,0.0429104477612,0.0354251802494,0.0235499496295,0.0072623140541,0.0784543325527,0.0,0.0,0.2,1.037246,-0.459925,0.507548,-0.534656,-0.437616,0.182304,1.498359,-1.073197,-0.120299,-0.213678,-0.04568,0.647728,0.537957,0.033061,-0.166459,-0.350504,-0.518373,0.712391,-0.22706,0.479961
